user,text,city,country,latitude,longitude
ColeLuisBunuel,Resolviendo problemas de matemáticas en 5°primaria @ColeLuisBunuel https://t.co/9EjCczDez4,N/A,N/A,N/A,N/A
EpJavierita,Tengo motivación para tener promedio final un 6.0 (Tableta ven a mi) BUT Matemáticas la caga. :( https://t.co/6uk5JP3rKy,N/A,N/A,N/A,N/A
AhtziriLm,Lo peor de mi noche fue mi tía convenciendo a mi madre para tomar clases de Matemáticas 😒,N/A,N/A,N/A,N/A
AstridEcheveria,Dice que quiere estudiar algo de matemáticas https://t.co/RaIl65fiTw,N/A,N/A,N/A,N/A
EnyaaaS,me muero si llego a desaprobar matemáticas 😣,N/A,N/A,N/A,N/A
blancafloblog,"""Si por casualidad hay que, aún siendo ignorantes de todas las matemáticas, presumiendo de un juicio sobre ellas... https://t.co/G4EKCZIcCJ",N/A,N/A,N/A,N/A
JesusOr91603416,@MarcaClaro @andremarinpuig @RaulOrvananos Este es el nivel real en que estamos las matemáticas son exactas de 3 pa… https://t.co/9ptgNfLymN,N/A,N/A,N/A,N/A
GisellaLud,Dos horas para dormir y un exámen de matemáticas para rendir. Que empiece el juego,N/A,N/A,N/A,N/A
FedeSerranista1,Amo matematicas dijo nunca nadie.,N/A,N/A,N/A,N/A
aliadclive,@chochos Re bueno para las matematicas,N/A,N/A,N/A,N/A
AdoracionDiaria,"• Las mujeres son como las matemáticas... difíciles de entender, pero necesarias para todo.",N/A,N/A,N/A,N/A
LORENAXFINN,el lunes tengo prueba de matemáticas https://t.co/6PaUoDRZPY,N/A,N/A,N/A,N/A
ScARtiste,J'ai ajouté une vidéo à une playlist @YouTube - Matemáticas Kandinsky - Video birografia.m4v https://t.co/wqiGMiARwc,N/A,N/A,N/A,N/A
ScARtiste,"J'aime une vidéo @YouTube : ""Matemáticas Kandinsky - Video birografia.m4v"" à l'adresse https://t.co/wqiGMiARwc.",N/A,N/A,N/A,N/A
AXOD3,@jbp2704 @foroCNP @tekueldruida @Jmayoral1973 @JOSE_UNEDIANO @Umbra_Noctis @MonederoJC aunque asi fuese siguen gana… https://t.co/lViIhYC35q,N/A,N/A,N/A,N/A
jckobeh,"Para no meternos en matemáticas, asignemos un valor (1, 2, 3) a cada opción, juntemos (no sumemos) las dos respuest… https://t.co/QnTUPmHnJS",N/A,N/A,N/A,N/A
Marianac1620,Mañana voy hacer la evaluación de matemáticas con Diosito,N/A,N/A,N/A,N/A
MrdameScargo,"Empezó conmigo en la prepa, en el último descanso antes de la última clase (fue de matemáticas, por cierto &lt;3)
Desp… https://t.co/4JrQmba9vK",N/A,N/A,N/A,N/A
Barrios_502,Qué bonitas las matemáticas cuando se dejan amar 💕😂😂😂😂😂😂,N/A,N/A,N/A,N/A
samlit78,"https://t.co/UsQexbEqJm Ciencia y sus Leyes en la Física,Química, Matemáticas. https://t.co/m9pg3J2SIz",N/A,N/A,N/A,N/A
UltraWenezolano,"JAJAJAJA Miren Esto #elachanteesconwenezolano @Wenezolano

-Papa,papa por que se suicido el libro de Matemáticas
+p… https://t.co/9acUNRiraS",N/A,N/A,N/A,N/A
casiisadora,Creo que lo que más me duele de aprender matemáticas de nuevo es cuando hago un ejercicio que me costó y al final m… https://t.co/QjHFAi98os,N/A,N/A,N/A,N/A
Leoo_Ulloa,3 años que le vengo aprobando todo a paloma de matemáticas y ella me hizo un favor de mierda y ya cree que esta sal… https://t.co/DitDt1YB0q,N/A,N/A,N/A,N/A
Karol_abc28,"@LeandroS6789 Si, seré yo quien va perdiendo matemáticas jakakaja",N/A,N/A,N/A,N/A
ashtonweon,"hoy me citaron a mi apoderado porque no respondi nada en la prueba de matemáticas, si no sé nada y no entiendo para… https://t.co/YuWVDSf7Rt",N/A,N/A,N/A,N/A
LaBrujaChica,@joelynott Muy bien! Yo me fui a alimentar donde mi mejor amiga mientras estudiaba matemáticas con su hijita,N/A,N/A,N/A,N/A
411emilio,¿Por qué las escritoras y escritores deberían aprender matemáticas? https://t.co/ii6llFocqT vía @ZTF_FCT,N/A,N/A,N/A,N/A
